						
						
						
						
						
						
V-oct	N-ožitel		přemožitel			
V-oci	N-ožitel		přemožitel			
mít	majitel					
spotřebovávat	spotřebitel					
N-ba	N-bce		žalobce			
V-it	N-ce		obhájce			
vést	vůdce					
N-	N-ce		vynálezce, strážce, dovozce			
V-ávat	N-avač		nakladač, prodavač			
V-at	N-áč		pohrabáč, sekáč			
V-it	N-áč		kropáč			
V-at	N-ač		vysévač			
V-át	N-áč		spáč, sráč			
V-et	N-eč		vynašeč			
V-it	N-ič		kropič			
péci	pekáč					
V-ýt	N-ytec		krytec			
V-it	N-ec		chodec			
V-at	N-ec		sportovec			
V-ět	N-ec		letec			
V-et	N-ec		běžec			
lít	litec					
umět	umělec					
hrát	herec					
pět	pěvec					
V-at	N-ník		pracovník			
N-ba	N-ebník		prosebník, hudebník			PMČ, s. 142
V-it	N-ník		tlumočník			
N-	N-ník		nájemník, loupežník			
N-	N-čí		dozorčí, průvodčí			
N-a	N-čí		popravčí, námluvčí			
V-nout	N-čí		rozhodčí			
V-at	N-ák		divák, žebrák, cucák			
V-et	N-ák		syčák, zabiják			
V-it	N-ák		honák			
pít	piják					
kouřit	kuřák					
zpívat	zpěvák					
V-át	N-ář		lhář			
žhnout	žhář					
píéci	pekař					
číst	čtenář					
V-at	N-ař		tesař			
V-at	N-ář		kovář			
V-at	N-al		hrabal			
V-it	N-il		slídil			
V-ět	N-a		neposeda			!!!ZÁPOR U SLOVESA
V-at	N-a		brbla, louda, brepta, předseda			
V-et	N-oun		bručoun			
V-at	N-oun		tahoun			
V-ovat	N-oun		pěstoun			
vztekat	vztekloun					
křičet	křikloun					
V-it	N-idlo		strašidlo			
V-ět	N-idlo		vřeštidlo			
třít	trdlo					PMČ, s. 143
V-at	N-na		drbna, štěkna			
V-at	N-an		hafan			
skočit	skokan					
pít	pijan					
žrát	žrout					
V-it	N-ka		lapka, mluvka			
V-at	N-ka		vyžírka			
N-	N-or		diktátor			
N-e	N-or		agresor, kompresor			
N-ace	N-átor		navigátor			
N-ice	N-itor		korepetitor			
N-ce	N-tor		redaktor, projektor			
N-ice	N-or		investor			
N-a	N-átor		vědátor			
N-	N-er		boxer, sprinter			
N-	N-ér		boxér, hazardér			
N-e	N-sér		režisér			
N-áž	N-ér		reportér			
N-um	N-ant		praktikant			
N-ita	N-ant		maturant			
N-ace	N-ant		kolaborant			
N-kce	N-cent		producent			
N-ence	N-ent		konkurent			
V-t	N-čka		čistička, plácačka			
V-t	N-dlo		sedadlo, švihadlo, mýdlo			
držet	držadlo					
V-at	N-ka		škrabka, výhybka			
