zakončení substantiva	zakončení adjektiva	derivační typ	slova se změnou v kořeni	výjimky	derivační typ výjimky
óznost	ózní	_^(*3í)			
rznost	rzní	_^(*3í)			
uznost	uzný	_^(*3ý)			
ůznost	ůzný	_^(*3ý)			
žnost	žný	_^(*3ý)		prestižnost, knižnost, podlažnost	_^(*3í)
post	pý	_^(*3ý)			
rost	rý	_^(*3ý)			
sost	sý	_^(*3ý)			
tost	tý	_^(*3ý)	svátost<svatý		
vost	vý	_^(*3ý)			
zost	zí	_^(*3í)		drzost	_^(*3ý)
